450 1
173.9 17.1 0
79.8 69.7 0
156.2 152.3 35
183.3 10.3 35
87.1 112.4 45
9.2 58.5 40
54.0 28.6 30
198.7 50.1 40
105.7 157.0 40
100.5 196.2 20
83.9 99.6 45
189.0 73.1 50
161.5 125.9 20
170.9 59.9 5
63.1 138.9 30
199.2 74.5 30
98.6 121.8 30
74.3 194.9 5
120.4 183.6 45
183.6 130.7 15
186.9 175.8 25
45.7 128.1 50
104.3 28.1 15
29.5 147.5 35
58.7 64.5 50
29.6 80.4 25
155.7 154.2 40
20.4 85.8 10
127.6 170.7 10
164.7 134.2 45
52.3 17.5 5
187.3 1.3 10
110.0 122.7 20
145.4 40.3 15
166.9 144.0 5
124.2 69.4 25
185.7 33.7 5
31.0 50.0 40
64.5 46.6 30
21.2 131.5 15
150.4 92.7 15
16.1 78.5 40
185.0 146.4 30
175.1 180.2 45
141.0 117.3 35
68.6 180.1 45
97.6 7.4 45
115.6 83.3 5
21.6 179.5 50
73.4 144.7 10
89.9 117.2 45
65.7 86.6 50
126.1 159.1 10
132.1 136.6 35
187.9 146.2 20
42.8 10.5 25
198.9 34.9 45
114.1 92.2 50
91.6 14.0 35
178.2 54.0 40
107.7 144.6 35
54.3 33.2 50
13.7 92.4 50
165.8 109.0 20
189.1 182.2 5
113.3 100.7 5
188.5 186.9 15
3.8 115.9 25
20.1 124.6 45
148.3 155.7 50
173.0 1.0 25
82.6 182.0 30
146.4 8.9 10
169.9 102.2 40
161.7 67.7 25
137.8 64.9 25
129.0 172.5 35
1.2 96.6 35
126.3 11.2 35
102.0 166.6 5
170.5 169.4 15
178.6 167.3 15
69.2 86.0 20
50.9 39.5 25
150.5 113.3 30
67.6 198.2 5
145.1 130.6 5
179.2 18.0 40
13.8 149.5 35
40.1 27.7 15
188.8 4.0 40
117.2 83.2 50
46.4 195.4 10
49.8 139.9 15
165.5 86.5 30
199.1 65.7 35
30.1 1.6 5
165.4 44.7 50
112.2 3.9 40
92.7 147.9 35
19.6 155.5 40
17.4 1.4 5
66.5 139.3 10
180.2 109.2 40
105.0 126.3 15
192.0 21.0 5
101.2 40.0 5
23.3 25.3 50
62.7 125.5 50
113.8 133.9 15
60.6 41.6 30
145.7 179.9 10
26.5 62.9 45
113.1 58.3 30
69.1 142.0 20
167.8 38.3 35
189.8 21.5 40
111.6 98.4 10
42.6 189.9 5
198.3 82.2 50
124.5 129.5 40
113.0 17.6 50
121.3 5.4 30
59.9 57.2 10
92.1 188.1 50
19.7 93.7 25
123.1 164.8 15
164.4 163.2 35
65.9 24.7 25
118.8 177.4 10
50.5 53.5 45
60.4 28.3 20
38.6 134.8 5
39.7 107.6 35
169.2 168.3 40
39.2 133.0 30
7.7 72.0 20
126.4 24.5 40
135.4 32.6 30
54.2 58.0 10
98.5 175.3 5
15.1 4.8 5
19.3 9.6 40
140.0 9.3 25
156.1 43.1 5
27.6 140.4 45
180.5 54.1 50
31.6 115.3 50
190.1 65.4 20
8.9 194.8 20
173.5 76.1 10
184.9 193.1 45
144.2 187.3 45
190.0 174.9 35
170.8 174.3 45
111.7 154.4 25
140.9 197.8 10
81.1 125.4 15
172.5 135.2 35
108.4 146.8 50
57.4 132.9 35
107.8 185.8 10
167.2 94.9 10
49.2 132.1 35
174.9 90.1 10
45.0 77.2 10
184.3 179.4 35
140.1 111.1 15
121.7 37.5 5
170.0 43.5 40
195.5 77.9 35
86.8 121.2 35
119.7 60.6 5
57.3 2.8 40
93.2 29.3 30
101.8 31.9 25
136.2 56.5 10
132.3 69.2 30
144.4 70.1 10
188.7 162.7 10
163.4 76.2 30
74.1 148.1 5
17.8 20.1 30
67.4 70.2 30
24.6 160.6 15
100.6 128.0 5
121.2 8.3 20
130.0 9.4 30
69.6 56.2 10
174.0 34.5 50
39.9 31.6 15
50.7 120.4 20
4.3 60.2 5
150.8 74.9 20
56.5 81.8 10
24.9 27.5 5
46.1 61.0 25
77.1 98.9 30
163.7 150.6 5
35.9 192.2 50
88.2 10.8 20
168.0 64.0 15
161.3 37.7 15
30.9 176.5 40
176.1 108.1 10
143.8 150.2 40
45.8 15.5 30
