instance,config,score,dist,time
cemb_150_140,ilp,5,38.00,0.00
cemb_150_140,ilp,205,25.91,0.38
cemb_150_140,ilp,385,80.23,0.55
cemb_150_140,ilp,440,82.43,0.61
cemb_150_140,ilp,505,83.05,0.77
cemb_150_140,ilp,555,86.02,0.93
cemb_150_140,ilp,645,90.22,1.00
cemb_150_140,ilp,655,94.90,1.11
cemb_150_140,ilp,690,95.72,1.19
cemb_150_140,ilp,700,100.40,1.31
cemb_150_140,ilp,710,103.77,1.45
cemb_150_140,ilp,715,105.34,1.54
cemb_150_140,ilp,730,109.09,1.63
cemb_150_140,ilp,745,109.37,1.75
cemb_150_140,ilp,755,109.88,1.84
cemb_150_140,ilp,1105,138.10,1.93
cemb_150_140,ilp,1130,138.50,2.59
cemb_150_140,ilp,1210,139.33,3.02
cemb_150_140,ilp,1230,137.48,3.16
cemb_150_140,ilp,1235,134.78,3.28
cemb_150_140,ilp,1250,137.96,3.40
cemb_150_140,ilp,1265,133.15,3.54
cemb_150_140,ilp,1270,139.54,3.66
cemb_150_140,ilp,1290,139.69,3.81
cemb_150_140,ilp,1320,137.56,7.30
cemb_150_140,ilp,1330,139.98,7.99
cemb_150_140,ilp,1335,139.32,8.74
cemb_150_140,ilp,1340,139.32,8.97
cemb_150_140,ilp,1355,137.77,9.09
cemb_150_140,ilp,1365,135.62,9.28
cemb_150_140,ilp,1385,136.91,9.42
cemb_150_140,ilp,1395,136.60,12.17
cemb_150_140,ilp,1405,139.99,12.26
cemb_150_140,ilp,1410,138.81,17.08
cemb_150_140,ilp,1415,139.73,17.82
cemb_150_140,ilp,1425,139.74,34.93
cemb_150_140,ilp,1435,138.67,41.86
cemb_150_140,ilp,1445,139.61,45.59
cemb_150_140,ilp,1450,139.88,71.94
