instance,config,score,dist,time
cemb_150_230,tabu-div,45,23.60,0.00
cemb_150_230,tabu-div,85,23.62,0.09
cemb_150_230,tabu-div,125,23.73,0.11
cemb_150_230,tabu-div,175,25.02,0.14
cemb_150_230,tabu-div,205,25.91,0.16
cemb_150_230,tabu-div,210,26.39,0.19
cemb_150_230,tabu-div,235,29.58,0.21
cemb_150_230,tabu-div,260,30.96,0.24
cemb_150_230,tabu-div,310,37.44,0.27
cemb_150_230,tabu-div,325,37.67,0.30
cemb_150_230,tabu-div,350,40.93,0.33
cemb_150_230,tabu-div,390,45.71,0.36
cemb_150_230,tabu-div,410,46.73,0.39
cemb_150_230,tabu-div,445,47.70,0.43
cemb_150_230,tabu-div,460,49.06,0.46
cemb_150_230,tabu-div,510,55.41,0.50
cemb_150_230,tabu-div,555,57.79,0.53
cemb_150_230,tabu-div,590,59.16,0.57
cemb_150_230,tabu-div,635,63.72,0.60
cemb_150_230,tabu-div,665,66.45,0.64
cemb_150_230,tabu-div,715,71.97,0.69
cemb_150_230,tabu-div,765,78.55,0.73
cemb_150_230,tabu-div,785,78.69,0.77
cemb_150_230,tabu-div,830,86.04,0.81
cemb_150_230,tabu-div,845,87.24,0.86
cemb_150_230,tabu-div,855,88.10,0.90
cemb_150_230,tabu-div,870,89.66,0.94
cemb_150_230,tabu-div,895,92.98,0.99
cemb_150_230,tabu-div,900,93.10,1.04
cemb_150_230,tabu-div,950,97.22,1.09
cemb_150_230,tabu-div,985,102.68,1.14
cemb_150_230,tabu-div,1000,102.71,1.19
cemb_150_230,tabu-div,1050,110.52,1.24
cemb_150_230,tabu-div,1095,118.10,1.29
cemb_150_230,tabu-div,1110,118.16,1.34
cemb_150_230,tabu-div,1135,122.72,1.40
cemb_150_230,tabu-div,1150,124.35,1.45
cemb_150_230,tabu-div,1185,132.02,1.50
cemb_150_230,tabu-div,1190,132.03,1.56
cemb_150_230,tabu-div,1240,138.76,1.62
cemb_150_230,tabu-div,1285,146.26,1.67
cemb_150_230,tabu-div,1335,150.08,1.73
cemb_150_230,tabu-div,1340,150.44,1.79
cemb_150_230,tabu-div,1375,155.36,1.85
cemb_150_230,tabu-div,1400,159.06,1.91
cemb_150_230,tabu-div,1405,159.34,1.97
cemb_150_230,tabu-div,1410,160.45,2.05
cemb_150_230,tabu-div,1450,169.32,2.11
cemb_150_230,tabu-div,1455,169.36,2.18
cemb_150_230,tabu-div,1485,169.84,2.24
cemb_150_230,tabu-div,1525,176.86,2.31
cemb_150_230,tabu-div,1565,184.83,2.38
cemb_150_230,tabu-div,1575,184.86,2.44
cemb_150_230,tabu-div,1605,190.93,2.52
cemb_150_230,tabu-div,1645,197.39,2.59
cemb_150_230,tabu-div,1670,198.97,2.66
cemb_150_230,tabu-div,1695,201.40,2.73
cemb_150_230,tabu-div,1725,203.40,2.80
cemb_150_230,tabu-div,1740,205.53,2.87
cemb_150_230,tabu-div,1765,210.32,2.95
cemb_150_230,tabu-div,1775,210.36,3.03
cemb_150_230,tabu-div,1800,215.48,3.10
cemb_150_230,tabu-div,1810,216.22,3.19
cemb_150_230,tabu-div,1840,218.03,3.27
cemb_150_230,tabu-div,1850,218.36,3.36
cemb_150_230,tabu-div,1875,223.67,3.45
cemb_150_230,tabu-div,1905,227.54,3.53
cemb_150_230,tabu-div,1920,228.87,3.61
cemb_150_230,tabu-div,1930,229.85,3.86
cemb_150_230,tabu-div,1940,229.80,4.12
cemb_150_230,tabu-div,1950,229.93,4.54
cemb_150_230,tabu-div,1960,229.94,4.62
cemb_150_230,tabu-div,1970,229.31,4.96
cemb_150_230,tabu-div,1975,229.36,5.22
cemb_150_230,tabu-div,1995,229.84,5.39
cemb_150_230,tabu-div,2005,229.79,5.56
cemb_150_230,tabu-div,2010,229.96,5.74
cemb_150_230,tabu-div,2015,229.51,6.43
cemb_150_230,tabu-div,2020,226.81,7.58
cemb_150_230,tabu-div,2070,229.57,7.66
cemb_150_230,tabu-div,2080,229.61,7.92
cemb_150_230,tabu-div,2095,229.54,8.09
cemb_150_230,tabu-div,2100,229.47,8.26
cemb_150_230,tabu-div,2115,229.69,8.44
cemb_150_230,tabu-div,2130,229.87,9.51
cemb_150_230,tabu-div,2135,228.78,10.36
cemb_150_230,tabu-div,2145,229.20,13.36
cemb_150_230,tabu-div,2155,229.53,13.45
cemb_150_230,tabu-div,2160,229.87,19.39
cemb_150_230,tabu-div,2170,229.91,20.37
cemb_150_230,tabu-div,2185,229.63,21.98
cemb_150_230,tabu-div,2190,229.68,22.16
cemb_150_230,tabu-div,2195,229.58,22.54
cemb_150_230,tabu-div,2210,229.96,25.22
cemb_150_230,tabu-div,2230,229.95,28.38
cemb_150_230,tabu-div,2245,229.96,28.62
cemb_150_230,tabu-div,2260,229.59,29.01
cemb_150_230,tabu-div,2265,229.97,35.42
cemb_150_230,tabu-div,2270,229.60,44.77
cemb_150_230,tabu-div,2275,229.85,44.86
cemb_150_230,tabu-div,2285,229.78,45.90
