[constructive_heuristic] best sol improved: score=45, dist=23.604575898006413, Solution(n=150, next=[30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=85, dist=23.62360315513603, Solution(n=150, next=[30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 130, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=125, dist=23.73001945715483, Solution(n=150, next=[30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 130, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=175, dist=25.023390520887233, Solution(n=150, next=[30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 130, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=205, dist=25.906751897233974, Solution(n=150, next=[62, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 130, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=210, dist=26.393028459921428, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62, None, None, 77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 130, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=235, dist=29.58299452552006, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62, None, None, 77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 130, None, None, None, None, None, None, None, None, 102, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=260, dist=30.95804146434715, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62, None, None, 77, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, None, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=310, dist=37.44032463008312, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62, None, None, 74, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 30, None, None, None, None, None, None, None, None, None, None, None, 77, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, None, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=325, dist=37.66714919771467, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62, None, None, 60, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 77, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, None, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=350, dist=40.92642380294211, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62, None, None, 60, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, 77, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=390, dist=45.7127938624871, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 77, None, None, None, None, None, None, None, None, None, None, 62, None, None, 60, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=410, dist=46.73118609825325, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=445, dist=47.69805012429813, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 53, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=460, dist=49.05675332178262, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 149, None, None, None, None, 53, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=510, dist=55.41419624558582, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, 53, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=555, dist=57.79210613773516, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 53, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, 41, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=590, dist=59.15581930568154, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, None, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, 41, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, 53, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=635, dist=63.72275412650436, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 53, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, 41, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, None, None, 86, None, None, None, None, None, None, None, None, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=665, dist=66.44802735177096, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 128, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, None, 117, None, None, None, None, None, None, None, None, None, 41, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, None, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=715, dist=71.9699677903256, Solution(n=150, next=[27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 41, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, None, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=765, dist=78.54823925597496, Solution(n=150, next=[27, None, None, None, None, None, None, None, 41, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, None, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 8, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, None, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=785, dist=78.68778394645362, Solution(n=150, next=[27, None, None, None, None, None, None, None, 69, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 8, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, None, None, 61, None, None, None, None, None, None, None, None, None])
