instance,config,score,dist,time
cemb_150_230,tabu-int,45,23.60,0.00
cemb_150_230,tabu-int,85,23.62,0.08
cemb_150_230,tabu-int,125,23.73,0.10
cemb_150_230,tabu-int,175,25.02,0.13
cemb_150_230,tabu-int,205,25.91,0.15
cemb_150_230,tabu-int,210,26.39,0.18
cemb_150_230,tabu-int,235,29.58,0.21
cemb_150_230,tabu-int,260,30.96,0.23
cemb_150_230,tabu-int,310,37.44,0.26
cemb_150_230,tabu-int,325,37.67,0.29
cemb_150_230,tabu-int,350,40.93,0.32
cemb_150_230,tabu-int,390,45.71,0.35
cemb_150_230,tabu-int,410,46.73,0.38
cemb_150_230,tabu-int,445,47.70,0.42
cemb_150_230,tabu-int,460,49.06,0.45
cemb_150_230,tabu-int,510,55.41,0.49
cemb_150_230,tabu-int,555,57.79,0.52
cemb_150_230,tabu-int,590,59.16,0.56
cemb_150_230,tabu-int,635,63.72,0.59
cemb_150_230,tabu-int,665,66.45,0.63
cemb_150_230,tabu-int,715,71.97,0.69
cemb_150_230,tabu-int,765,78.55,0.73
cemb_150_230,tabu-int,785,78.69,0.77
cemb_150_230,tabu-int,830,86.04,0.81
cemb_150_230,tabu-int,845,87.24,0.86
cemb_150_230,tabu-int,855,88.10,0.90
cemb_150_230,tabu-int,870,89.66,0.95
cemb_150_230,tabu-int,895,92.98,0.99
cemb_150_230,tabu-int,900,93.10,1.04
cemb_150_230,tabu-int,950,97.22,1.09
cemb_150_230,tabu-int,985,102.68,1.13
cemb_150_230,tabu-int,1000,102.71,1.18
cemb_150_230,tabu-int,1050,110.52,1.23
cemb_150_230,tabu-int,1095,118.10,1.28
cemb_150_230,tabu-int,1110,118.16,1.34
cemb_150_230,tabu-int,1135,122.72,1.39
cemb_150_230,tabu-int,1150,124.35,1.44
cemb_150_230,tabu-int,1185,132.02,1.50
cemb_150_230,tabu-int,1190,132.03,1.55
cemb_150_230,tabu-int,1240,138.76,1.61
cemb_150_230,tabu-int,1285,146.26,1.67
cemb_150_230,tabu-int,1335,150.08,1.73
cemb_150_230,tabu-int,1340,150.44,1.78
cemb_150_230,tabu-int,1375,155.36,1.84
cemb_150_230,tabu-int,1400,159.06,1.90
cemb_150_230,tabu-int,1405,159.34,1.96
cemb_150_230,tabu-int,1410,160.45,2.04
cemb_150_230,tabu-int,1450,169.32,2.10
cemb_150_230,tabu-int,1455,169.36,2.17
cemb_150_230,tabu-int,1485,169.84,2.23
cemb_150_230,tabu-int,1525,176.86,2.30
cemb_150_230,tabu-int,1565,184.83,2.36
cemb_150_230,tabu-int,1575,184.86,2.43
cemb_150_230,tabu-int,1605,190.93,2.50
cemb_150_230,tabu-int,1645,197.39,2.57
cemb_150_230,tabu-int,1670,198.97,2.64
cemb_150_230,tabu-int,1695,201.40,2.71
cemb_150_230,tabu-int,1725,203.40,2.78
cemb_150_230,tabu-int,1740,205.53,2.86
cemb_150_230,tabu-int,1765,210.32,2.93
cemb_150_230,tabu-int,1775,210.36,3.00
cemb_150_230,tabu-int,1800,215.48,3.08
cemb_150_230,tabu-int,1810,216.22,3.15
cemb_150_230,tabu-int,1840,218.03,3.23
cemb_150_230,tabu-int,1850,218.36,3.31
cemb_150_230,tabu-int,1875,223.67,3.39
cemb_150_230,tabu-int,1905,227.54,3.47
cemb_150_230,tabu-int,1920,228.87,3.55
cemb_150_230,tabu-int,1920,227.80,3.71
cemb_150_230,tabu-int,1930,229.85,3.79
cemb_150_230,tabu-int,1930,229.03,3.88
cemb_150_230,tabu-int,1930,227.15,3.96
cemb_150_230,tabu-int,1940,229.80,4.04
cemb_150_230,tabu-int,1940,229.07,4.12
cemb_150_230,tabu-int,1940,229.01,4.20
cemb_150_230,tabu-int,1940,228.88,4.29
cemb_150_230,tabu-int,1940,227.21,4.37
cemb_150_230,tabu-int,1950,229.93,4.46
cemb_150_230,tabu-int,1960,229.94,4.54
cemb_150_230,tabu-int,1960,229.78,4.62
cemb_150_230,tabu-int,1960,228.99,4.71
cemb_150_230,tabu-int,1960,227.71,4.80
cemb_150_230,tabu-int,1970,229.31,4.88
cemb_150_230,tabu-int,1970,229.27,4.96
cemb_150_230,tabu-int,1970,228.04,5.05
cemb_150_230,tabu-int,1975,229.36,5.14
cemb_150_230,tabu-int,1975,225.24,5.22
cemb_150_230,tabu-int,1995,229.84,5.31
cemb_150_230,tabu-int,1995,227.08,5.39
cemb_150_230,tabu-int,2005,229.79,5.48
cemb_150_230,tabu-int,2005,229.66,5.57
cemb_150_230,tabu-int,2010,229.96,5.66
cemb_150_230,tabu-int,2010,228.26,5.76
