instance,config,score,dist,time
cemb_150_230,tabu,45,23.60,0.00
cemb_150_230,tabu,85,23.62,0.08
cemb_150_230,tabu,125,23.73,0.11
cemb_150_230,tabu,175,25.02,0.13
cemb_150_230,tabu,205,25.91,0.16
cemb_150_230,tabu,210,26.39,0.19
cemb_150_230,tabu,235,29.58,0.22
cemb_150_230,tabu,260,30.96,0.25
cemb_150_230,tabu,310,37.44,0.27
cemb_150_230,tabu,325,37.67,0.30
cemb_150_230,tabu,350,40.93,0.33
cemb_150_230,tabu,390,45.71,0.36
cemb_150_230,tabu,410,46.73,0.40
cemb_150_230,tabu,445,47.70,0.43
cemb_150_230,tabu,460,49.06,0.47
cemb_150_230,tabu,510,55.41,0.50
cemb_150_230,tabu,555,57.79,0.54
cemb_150_230,tabu,590,59.16,0.57
cemb_150_230,tabu,635,63.72,0.61
cemb_150_230,tabu,665,66.45,0.65
cemb_150_230,tabu,715,71.97,0.69
cemb_150_230,tabu,765,78.55,0.73
cemb_150_230,tabu,785,78.69,0.77
cemb_150_230,tabu,830,86.04,0.81
cemb_150_230,tabu,845,87.24,0.85
cemb_150_230,tabu,855,88.10,0.89
cemb_150_230,tabu,870,89.66,0.94
cemb_150_230,tabu,895,92.98,0.98
cemb_150_230,tabu,900,93.10,1.03
cemb_150_230,tabu,950,97.22,1.08
cemb_150_230,tabu,985,102.68,1.12
cemb_150_230,tabu,1000,102.71,1.17
cemb_150_230,tabu,1050,110.52,1.22
cemb_150_230,tabu,1095,118.10,1.28
cemb_150_230,tabu,1110,118.16,1.34
cemb_150_230,tabu,1135,122.72,1.39
cemb_150_230,tabu,1150,124.35,1.45
cemb_150_230,tabu,1185,132.02,1.50
cemb_150_230,tabu,1190,132.03,1.56
cemb_150_230,tabu,1240,138.76,1.62
cemb_150_230,tabu,1285,146.26,1.68
cemb_150_230,tabu,1335,150.08,1.74
cemb_150_230,tabu,1340,150.44,1.80
cemb_150_230,tabu,1375,155.36,1.86
cemb_150_230,tabu,1400,159.06,1.92
cemb_150_230,tabu,1405,159.34,1.99
cemb_150_230,tabu,1410,160.45,2.06
cemb_150_230,tabu,1450,169.32,2.12
cemb_150_230,tabu,1455,169.36,2.19
cemb_150_230,tabu,1485,169.84,2.26
cemb_150_230,tabu,1525,176.86,2.32
cemb_150_230,tabu,1565,184.83,2.39
cemb_150_230,tabu,1575,184.86,2.46
cemb_150_230,tabu,1605,190.93,2.53
cemb_150_230,tabu,1645,197.39,2.60
cemb_150_230,tabu,1670,198.97,2.68
cemb_150_230,tabu,1695,201.40,2.75
cemb_150_230,tabu,1725,203.40,2.83
cemb_150_230,tabu,1740,205.53,2.90
cemb_150_230,tabu,1765,210.32,2.98
cemb_150_230,tabu,1775,210.36,3.06
cemb_150_230,tabu,1800,215.48,3.14
cemb_150_230,tabu,1810,216.22,3.22
cemb_150_230,tabu,1840,218.03,3.30
cemb_150_230,tabu,1850,218.36,3.38
cemb_150_230,tabu,1875,223.67,3.47
cemb_150_230,tabu,1905,227.54,3.55
cemb_150_230,tabu,1920,228.87,3.64
cemb_150_230,tabu,1920,227.80,3.82
cemb_150_230,tabu,1930,229.85,3.90
cemb_150_230,tabu,1930,229.03,3.99
cemb_150_230,tabu,1930,227.15,4.08
cemb_150_230,tabu,1940,229.80,4.17
cemb_150_230,tabu,1940,229.07,4.25
cemb_150_230,tabu,1940,229.01,4.33
cemb_150_230,tabu,1940,228.88,4.42
cemb_150_230,tabu,1940,227.21,4.50
cemb_150_230,tabu,1950,229.93,4.58
cemb_150_230,tabu,1960,229.94,4.67
cemb_150_230,tabu,1960,229.78,4.75
cemb_150_230,tabu,1960,228.99,4.84
cemb_150_230,tabu,1960,227.71,4.92
cemb_150_230,tabu,1970,229.31,5.02
cemb_150_230,tabu,1970,229.27,5.10
cemb_150_230,tabu,1970,228.04,5.19
cemb_150_230,tabu,1975,229.36,5.29
cemb_150_230,tabu,1975,225.24,5.37
cemb_150_230,tabu,1995,229.84,5.46
cemb_150_230,tabu,1995,227.08,5.55
cemb_150_230,tabu,2005,229.79,5.64
cemb_150_230,tabu,2005,229.66,5.72
cemb_150_230,tabu,2010,229.96,5.81
cemb_150_230,tabu,2010,228.26,5.92
