instance,config,score,dist,time
cemb_150_290,ilp,5,38.00,0.00
cemb_150_290,ilp,75,43.12,0.56
cemb_150_290,ilp,265,54.67,0.63
cemb_150_290,ilp,300,63.32,0.70
cemb_150_290,ilp,635,64.89,0.77
cemb_150_290,ilp,660,70.41,1.06
cemb_150_290,ilp,695,76.16,1.13
cemb_150_290,ilp,730,77.53,1.25
cemb_150_290,ilp,750,79.97,1.32
cemb_150_290,ilp,755,82.96,1.47
cemb_150_290,ilp,760,85.02,1.55
cemb_150_290,ilp,795,81.89,1.63
cemb_150_290,ilp,890,98.03,1.77
cemb_150_290,ilp,1780,185.56,1.88
cemb_150_290,ilp,1785,193.20,2.11
cemb_150_290,ilp,1840,206.44,2.84
cemb_150_290,ilp,1860,208.53,3.10
cemb_150_290,ilp,1915,218.68,3.39
cemb_150_290,ilp,1940,223.24,3.67
cemb_150_290,ilp,2160,247.73,3.89
cemb_150_290,ilp,2165,270.03,4.30
cemb_150_290,ilp,2215,276.16,4.52
cemb_150_290,ilp,2265,281.68,4.84
cemb_150_290,ilp,2275,284.12,10.84
cemb_150_290,ilp,2285,289.88,14.78
cemb_150_290,ilp,2290,275.90,15.84
cemb_150_290,ilp,2305,285.73,16.04
cemb_150_290,ilp,2315,283.48,17.11
cemb_150_290,ilp,2325,288.54,17.93
cemb_150_290,ilp,2350,287.01,55.06
cemb_150_290,ilp,2360,289.24,55.43
cemb_150_290,ilp,2365,288.29,55.90
cemb_150_290,ilp,2415,289.91,57.53
cemb_150_290,ilp,2445,289.87,75.69
cemb_150_290,ilp,2510,288.18,76.20
cemb_150_290,ilp,2550,286.70,85.43
cemb_150_290,ilp,2555,289.84,85.63
cemb_150_290,ilp,2580,289.09,85.78
cemb_150_290,ilp,2615,289.34,86.12
cemb_150_290,ilp,2630,289.64,92.19
cemb_150_290,ilp,2645,289.50,124.89
cemb_150_290,ilp,2650,289.72,125.00
cemb_150_290,ilp,2665,289.49,125.11
cemb_150_290,ilp,2690,289.14,129.13
cemb_150_290,ilp,2700,288.40,129.26
cemb_150_290,ilp,2705,289.58,146.62
cemb_150_290,ilp,2715,289.07,207.41
cemb_150_290,ilp,2725,289.56,210.62
cemb_150_290,ilp,2755,289.16,230.06
cemb_150_290,ilp,2775,289.87,242.78
cemb_150_290,ilp,2780,289.15,304.11
cemb_150_290,ilp,2785,289.89,307.33
cemb_150_290,ilp,2805,288.14,319.67
cemb_150_290,ilp,2815,289.36,320.94
cemb_150_290,ilp,2820,289.00,338.12
cemb_150_290,ilp,2830,289.95,338.29
cemb_150_290,ilp,2835,289.80,374.91
cemb_150_290,ilp,2840,289.22,413.86
cemb_150_290,ilp,2845,289.99,503.19
cemb_150_290,ilp,2845,289.99,600.02
