instance,config,score,dist,time
cemb_150_290,tabu-div,45,23.60,0.00
cemb_150_290,tabu-div,85,23.62,0.09
cemb_150_290,tabu-div,125,23.73,0.11
cemb_150_290,tabu-div,175,25.02,0.14
cemb_150_290,tabu-div,205,25.91,0.17
cemb_150_290,tabu-div,210,26.39,0.19
cemb_150_290,tabu-div,235,29.58,0.22
cemb_150_290,tabu-div,260,30.96,0.25
cemb_150_290,tabu-div,310,37.44,0.28
cemb_150_290,tabu-div,325,37.67,0.31
cemb_150_290,tabu-div,350,40.93,0.34
cemb_150_290,tabu-div,390,45.71,0.37
cemb_150_290,tabu-div,410,46.73,0.40
cemb_150_290,tabu-div,445,47.70,0.43
cemb_150_290,tabu-div,460,49.06,0.47
cemb_150_290,tabu-div,510,55.41,0.50
cemb_150_290,tabu-div,555,57.79,0.54
cemb_150_290,tabu-div,590,59.16,0.57
cemb_150_290,tabu-div,635,63.72,0.61
cemb_150_290,tabu-div,665,66.45,0.65
cemb_150_290,tabu-div,715,71.97,0.69
cemb_150_290,tabu-div,765,78.55,0.73
cemb_150_290,tabu-div,785,78.69,0.77
cemb_150_290,tabu-div,830,86.04,0.81
cemb_150_290,tabu-div,845,87.24,0.85
cemb_150_290,tabu-div,855,88.10,0.90
cemb_150_290,tabu-div,870,89.66,0.94
cemb_150_290,tabu-div,895,92.98,0.99
cemb_150_290,tabu-div,900,93.10,1.04
cemb_150_290,tabu-div,950,97.22,1.08
cemb_150_290,tabu-div,985,102.68,1.13
cemb_150_290,tabu-div,1000,102.71,1.18
cemb_150_290,tabu-div,1050,110.52,1.23
cemb_150_290,tabu-div,1095,118.10,1.28
cemb_150_290,tabu-div,1110,118.16,1.33
cemb_150_290,tabu-div,1135,122.72,1.38
cemb_150_290,tabu-div,1150,124.35,1.44
cemb_150_290,tabu-div,1185,132.02,1.49
cemb_150_290,tabu-div,1190,132.03,1.55
cemb_150_290,tabu-div,1240,138.76,1.60
cemb_150_290,tabu-div,1285,146.26,1.66
cemb_150_290,tabu-div,1335,150.08,1.72
cemb_150_290,tabu-div,1340,150.44,1.78
cemb_150_290,tabu-div,1375,155.36,1.84
cemb_150_290,tabu-div,1400,159.06,1.90
cemb_150_290,tabu-div,1405,159.34,1.96
cemb_150_290,tabu-div,1410,160.45,2.03
cemb_150_290,tabu-div,1450,169.32,2.09
cemb_150_290,tabu-div,1455,169.36,2.16
cemb_150_290,tabu-div,1485,169.84,2.22
cemb_150_290,tabu-div,1525,176.86,2.29
cemb_150_290,tabu-div,1565,184.83,2.36
cemb_150_290,tabu-div,1575,184.86,2.43
cemb_150_290,tabu-div,1605,190.93,2.50
cemb_150_290,tabu-div,1645,197.39,2.57
cemb_150_290,tabu-div,1670,198.97,2.64
cemb_150_290,tabu-div,1695,201.40,2.72
cemb_150_290,tabu-div,1725,203.40,2.79
cemb_150_290,tabu-div,1740,205.53,2.86
cemb_150_290,tabu-div,1765,210.32,2.94
cemb_150_290,tabu-div,1775,210.36,3.02
cemb_150_290,tabu-div,1800,215.48,3.09
cemb_150_290,tabu-div,1810,216.22,3.17
cemb_150_290,tabu-div,1840,218.03,3.25
cemb_150_290,tabu-div,1850,218.36,3.33
cemb_150_290,tabu-div,1875,223.67,3.41
cemb_150_290,tabu-div,1905,227.54,3.49
cemb_150_290,tabu-div,1920,228.87,3.57
cemb_150_290,tabu-div,1930,230.09,3.65
cemb_150_290,tabu-div,1950,234.70,3.73
cemb_150_290,tabu-div,1985,242.86,3.82
cemb_150_290,tabu-div,2035,247.42,3.90
cemb_150_290,tabu-div,2075,248.47,3.98
cemb_150_290,tabu-div,2115,257.85,4.07
cemb_150_290,tabu-div,2145,258.28,4.16
cemb_150_290,tabu-div,2185,267.74,4.25
cemb_150_290,tabu-div,2200,267.74,4.33
cemb_150_290,tabu-div,2230,269.22,4.42
cemb_150_290,tabu-div,2275,274.17,4.51
cemb_150_290,tabu-div,2315,282.31,4.60
cemb_150_290,tabu-div,2335,283.88,4.69
cemb_150_290,tabu-div,2375,288.45,4.78
cemb_150_290,tabu-div,2390,288.46,4.88
cemb_150_290,tabu-div,2390,287.39,5.07
cemb_150_290,tabu-div,2395,289.29,5.16
cemb_150_290,tabu-div,2395,287.41,5.25
cemb_150_290,tabu-div,2405,289.02,5.35
cemb_150_290,tabu-div,2420,289.85,5.44
cemb_150_290,tabu-div,2420,289.80,5.54
cemb_150_290,tabu-div,2420,289.07,5.64
cemb_150_290,tabu-div,2420,289.01,5.75
cemb_150_290,tabu-div,2420,288.88,5.85
cemb_150_290,tabu-div,2420,287.21,5.95
cemb_150_290,tabu-div,2430,289.98,6.05
cemb_150_290,tabu-div,2430,289.82,6.14
cemb_150_290,tabu-div,2430,289.03,6.24
cemb_150_290,tabu-div,2430,287.75,6.33
cemb_150_290,tabu-div,2430,286.51,6.43
cemb_150_290,tabu-div,2435,289.99,6.53
cemb_150_290,tabu-div,2435,285.87,6.62
cemb_150_290,tabu-div,2440,289.29,6.72
cemb_150_290,tabu-div,2440,286.53,6.82
cemb_150_290,tabu-div,2445,289.63,6.92
cemb_150_290,tabu-div,2445,289.49,7.02
cemb_150_290,tabu-div,2445,287.80,7.12
cemb_150_290,tabu-div,2450,289.12,7.22
cemb_150_290,tabu-div,2450,288.13,7.32
cemb_150_290,tabu-div,2450,287.77,7.42
cemb_150_290,tabu-div,2450,286.76,7.52
cemb_150_290,tabu-div,2465,289.77,7.62
cemb_150_290,tabu-div,2465,289.10,7.73
cemb_150_290,tabu-div,2465,288.91,7.83
cemb_150_290,tabu-div,2465,288.52,7.94
cemb_150_290,tabu-div,2465,287.69,8.04
cemb_150_290,tabu-div,2470,289.66,8.34
cemb_150_290,tabu-div,2485,289.71,8.44
cemb_150_290,tabu-div,2515,289.71,8.54
cemb_150_290,tabu-div,2515,289.60,8.81
cemb_150_290,tabu-div,2515,289.21,9.10
cemb_150_290,tabu-div,2515,288.91,9.20
cemb_150_290,tabu-div,2515,286.23,9.31
cemb_150_290,tabu-div,2520,289.09,9.42
cemb_150_290,tabu-div,2530,289.78,9.70
cemb_150_290,tabu-div,2550,289.84,9.80
cemb_150_290,tabu-div,2550,288.62,10.25
cemb_150_290,tabu-div,2555,289.94,10.35
cemb_150_290,tabu-div,2555,287.99,10.46
cemb_150_290,tabu-div,2565,289.85,10.58
cemb_150_290,tabu-div,2570,289.80,11.03
cemb_150_290,tabu-div,2590,289.81,11.13
cemb_150_290,tabu-div,2590,289.69,11.24
cemb_150_290,tabu-div,2605,289.79,11.85
cemb_150_290,tabu-div,2610,289.77,12.42
cemb_150_290,tabu-div,2615,289.26,12.71
cemb_150_290,tabu-div,2615,289.12,13.15
cemb_150_290,tabu-div,2615,287.14,13.26
cemb_150_290,tabu-div,2625,289.91,13.36
cemb_150_290,tabu-div,2635,289.46,13.65
cemb_150_290,tabu-div,2650,289.51,13.75
cemb_150_290,tabu-div,2655,289.71,13.85
cemb_150_290,tabu-div,2655,289.39,13.96
cemb_150_290,tabu-div,2655,289.37,14.07
cemb_150_290,tabu-div,2655,289.07,14.17
cemb_150_290,tabu-div,2655,287.52,14.28
cemb_150_290,tabu-div,2660,289.25,14.38
cemb_150_290,tabu-div,2665,289.38,14.50
cemb_150_290,tabu-div,2665,289.34,14.61
cemb_150_290,tabu-div,2665,289.32,16.47
cemb_150_290,tabu-div,2670,289.76,16.57
cemb_150_290,tabu-div,2670,288.79,16.68
cemb_150_290,tabu-div,2690,289.99,16.78
cemb_150_290,tabu-div,2690,289.78,18.86
cemb_150_290,tabu-div,2690,289.70,36.40
cemb_150_290,tabu-div,2690,289.50,37.63
cemb_150_290,tabu-div,2690,289.32,37.74
cemb_150_290,tabu-div,2690,288.58,38.02
cemb_150_290,tabu-div,2695,289.69,38.12
cemb_150_290,tabu-div,2695,289.50,38.23
cemb_150_290,tabu-div,2695,289.09,52.05
cemb_150_290,tabu-div,2700,289.63,52.93
cemb_150_290,tabu-div,2700,289.22,58.70
cemb_150_290,tabu-div,2700,289.11,58.80
cemb_150_290,tabu-div,2710,289.51,60.36
cemb_150_290,tabu-div,2720,289.42,84.08
cemb_150_290,tabu-div,2735,289.99,84.34
cemb_150_290,tabu-div,2735,289.89,85.48
cemb_150_290,tabu-div,2735,288.73,85.59
cemb_150_290,tabu-div,2750,289.95,85.69
cemb_150_290,tabu-div,2750,288.24,86.32
cemb_150_290,tabu-div,2755,289.75,86.43
cemb_150_290,tabu-div,2770,289.55,87.20
cemb_150_290,tabu-div,2775,289.58,87.53
cemb_150_290,tabu-div,2775,289.04,87.63
cemb_150_290,tabu-div,2775,288.93,87.74
cemb_150_290,tabu-div,2795,289.24,92.72
cemb_150_290,tabu-div,2795,288.59,92.83
cemb_150_290,tabu-div,2800,289.92,92.94
cemb_150_290,tabu-div,2810,289.63,97.68
cemb_150_290,tabu-div,2810,289.49,116.90
cemb_150_290,tabu-div,2815,289.48,117.01
cemb_150_290,tabu-div,2815,289.35,117.11
cemb_150_290,tabu-div,2815,289.30,117.22
cemb_150_290,tabu-div,2820,289.82,123.42
cemb_150_290,tabu-div,2820,289.35,138.69
cemb_150_290,tabu-div,2820,288.34,138.80
cemb_150_290,tabu-div,2820,287.68,138.91
cemb_150_290,tabu-div,2825,289.87,145.97
cemb_150_290,tabu-div,2825,289.32,146.07
cemb_150_290,tabu-div,2825,289.22,146.18
cemb_150_290,tabu-div,2830,289.80,226.93
cemb_150_290,tabu-div,2830,288.97,227.03
cemb_150_290,tabu-div,2840,289.51,233.18
