instance,config,score,dist,time
cemb_300_150,tabu,20,107.83,0.00
cemb_300_150,tabu,30,107.94,0.08
cemb_300_150,tabu,55,108.32,0.10
cemb_300_150,tabu,85,110.68,0.13
cemb_300_150,tabu,115,113.90,0.16
cemb_300_150,tabu,155,123.52,0.18
cemb_300_150,tabu,205,132.34,0.21
cemb_300_150,tabu,240,134.11,0.24
cemb_300_150,tabu,255,134.26,0.27
cemb_300_150,tabu,305,142.68,0.30
cemb_300_150,tabu,345,146.25,0.33
cemb_300_150,tabu,350,147.70,0.40
cemb_300_150,tabu,365,148.45,0.43
cemb_300_150,tabu,385,144.91,0.46
cemb_300_150,tabu,390,147.46,0.50
