instance,config,score,dist,time
set_66_1_070,tabu-int,15,6.33,0.00
set_66_1_070,tabu-int,20,6.50,0.11
set_66_1_070,tabu-int,35,8.50,0.15
set_66_1_070,tabu-int,40,8.92,0.19
set_66_1_070,tabu-int,65,11.75,0.22
set_66_1_070,tabu-int,90,12.92,0.26
set_66_1_070,tabu-int,125,15.75,0.30
set_66_1_070,tabu-int,160,16.92,0.34
set_66_1_070,tabu-int,195,19.75,0.38
set_66_1_070,tabu-int,220,20.92,0.42
set_66_1_070,tabu-int,255,23.75,0.46
set_66_1_070,tabu-int,280,24.92,0.51
set_66_1_070,tabu-int,315,27.75,0.55
set_66_1_070,tabu-int,350,28.92,0.59
set_66_1_070,tabu-int,385,31.75,0.64
set_66_1_070,tabu-int,410,32.92,0.69
set_66_1_070,tabu-int,445,35.75,0.73
set_66_1_070,tabu-int,470,36.92,0.78
set_66_1_070,tabu-int,505,39.75,0.83
set_66_1_070,tabu-int,540,40.92,0.88
set_66_1_070,tabu-int,575,43.75,0.94
set_66_1_070,tabu-int,600,44.92,0.99
set_66_1_070,tabu-int,635,47.75,1.04
set_66_1_070,tabu-int,660,48.92,1.09
set_66_1_070,tabu-int,695,51.75,1.16
set_66_1_070,tabu-int,720,52.92,1.22
set_66_1_070,tabu-int,755,55.75,1.27
set_66_1_070,tabu-int,780,56.92,1.33
set_66_1_070,tabu-int,815,59.75,1.39
set_66_1_070,tabu-int,840,60.92,1.45
set_66_1_070,tabu-int,875,63.75,1.51
set_66_1_070,tabu-int,900,64.92,1.56
set_66_1_070,tabu-int,935,67.75,1.62
set_66_1_070,tabu-int,960,68.92,1.69
