instance,config,score,dist,time
set_66_1_070,tabu,15,6.33,0.00
set_66_1_070,tabu,20,6.50,0.09
set_66_1_070,tabu,35,8.50,0.13
set_66_1_070,tabu,40,8.92,0.17
set_66_1_070,tabu,65,11.75,0.20
set_66_1_070,tabu,90,12.92,0.24
set_66_1_070,tabu,125,15.75,0.28
set_66_1_070,tabu,160,16.92,0.32
set_66_1_070,tabu,195,19.75,0.36
set_66_1_070,tabu,220,20.92,0.41
set_66_1_070,tabu,255,23.75,0.45
set_66_1_070,tabu,280,24.92,0.50
set_66_1_070,tabu,315,27.75,0.55
set_66_1_070,tabu,350,28.92,0.60
set_66_1_070,tabu,385,31.75,0.65
set_66_1_070,tabu,410,32.92,0.70
set_66_1_070,tabu,445,35.75,0.75
set_66_1_070,tabu,470,36.92,0.80
set_66_1_070,tabu,505,39.75,0.85
set_66_1_070,tabu,540,40.92,0.90
set_66_1_070,tabu,575,43.75,0.96
set_66_1_070,tabu,600,44.92,1.02
set_66_1_070,tabu,635,47.75,1.07
set_66_1_070,tabu,660,48.92,1.13
set_66_1_070,tabu,695,51.75,1.20
set_66_1_070,tabu,720,52.92,1.26
set_66_1_070,tabu,755,55.75,1.32
set_66_1_070,tabu,780,56.92,1.38
set_66_1_070,tabu,815,59.75,1.44
set_66_1_070,tabu,840,60.92,1.51
set_66_1_070,tabu,875,63.75,1.57
set_66_1_070,tabu,900,64.92,1.64
set_66_1_070,tabu,935,67.75,1.70
set_66_1_070,tabu,960,68.92,1.77
