[constructive_heuristic] best sol improved: score=15, dist=6.332637348207511, Solution(n=66, next=[21, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 65, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=20, dist=6.495358041299247, Solution(n=66, next=[21, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, None, 65, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=35, dist=8.495358041299246, Solution(n=66, next=[22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, 21, None, None, None, None, None, None, 65, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=40, dist=8.92080962648189, Solution(n=66, next=[30, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, 21, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=65, dist=11.749236751228079, Solution(n=66, next=[30, None, None, None, None, None, None, None, None, None, None, None, None, 21, None, None, None, None, None, None, None, 29, 13, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=90, dist=12.920809626481889, Solution(n=66, next=[30, None, None, None, None, None, None, None, None, None, None, None, None, 21, 13, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=125, dist=15.749236751228079, Solution(n=66, next=[30, None, None, None, None, 13, None, None, None, None, None, None, None, 21, 5, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=160, dist=16.92080962648189, Solution(n=66, next=[30, None, None, None, None, 13, 5, None, None, None, None, None, None, 21, 6, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=195, dist=19.74923675122808, Solution(n=66, next=[30, None, None, None, 13, 4, 5, None, None, None, None, None, None, 21, 6, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=220, dist=20.920809626481887, Solution(n=66, next=[30, None, None, None, 12, 4, 5, None, None, None, None, None, 13, 21, 6, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=255, dist=23.74923675122808, Solution(n=66, next=[30, None, None, 12, 3, 4, 5, None, None, None, None, None, 13, 21, 6, None, None, None, None, None, None, 29, 14, None, None, None, None, None, None, 65, 22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None])
