instance,config,score,dist,time
set_66_1_120,ilp,35,9.20,0.00
set_66_1_120,ilp,5,2.92,0.31
set_66_1_120,ilp,15,6.33,0.33
set_66_1_120,ilp,35,8.50,0.37
set_66_1_120,ilp,55,12.96,0.41
set_66_1_120,ilp,560,47.42,0.44
set_66_1_120,ilp,620,51.42,0.49
set_66_1_120,ilp,630,51.85,0.57
set_66_1_120,ilp,1340,95.42,0.61
set_66_1_120,ilp,1470,107.42,0.69
set_66_1_120,ilp,1485,109.42,0.77
set_66_1_120,ilp,1510,111.42,0.84
set_66_1_120,ilp,1550,115.42,0.92
set_66_1_120,ilp,1590,119.42,1.11
set_66_1_120,ilp,1600,119.42,1.21
set_66_1_120,ilp,1605,119.30,1.44
set_66_1_120,ilp,1615,119.30,1.68
set_66_1_120,ilp,1620,119.73,2.62
set_66_1_120,ilp,1625,118.24,9.75
set_66_1_120,ilp,1630,119.73,10.16
set_66_1_120,ilp,1635,119.81,11.22
set_66_1_120,ilp,1635,119.81,600.00
