instance,config,score,dist,time
set_66_1_120,tabu-div,15,6.33,0.00
set_66_1_120,tabu-div,20,6.50,0.10
set_66_1_120,tabu-div,35,8.50,0.14
set_66_1_120,tabu-div,40,8.92,0.18
set_66_1_120,tabu-div,65,11.75,0.21
set_66_1_120,tabu-div,90,12.92,0.25
set_66_1_120,tabu-div,125,15.75,0.29
set_66_1_120,tabu-div,160,16.92,0.33
set_66_1_120,tabu-div,195,19.75,0.37
set_66_1_120,tabu-div,220,20.92,0.41
set_66_1_120,tabu-div,255,23.75,0.46
set_66_1_120,tabu-div,280,24.92,0.50
set_66_1_120,tabu-div,315,27.75,0.54
set_66_1_120,tabu-div,350,28.92,0.59
set_66_1_120,tabu-div,385,31.75,0.63
set_66_1_120,tabu-div,410,32.92,0.68
set_66_1_120,tabu-div,445,35.75,0.72
set_66_1_120,tabu-div,470,36.92,0.77
set_66_1_120,tabu-div,505,39.75,0.82
set_66_1_120,tabu-div,540,40.92,0.87
set_66_1_120,tabu-div,575,43.75,0.93
set_66_1_120,tabu-div,600,44.92,0.98
set_66_1_120,tabu-div,635,47.75,1.03
set_66_1_120,tabu-div,660,48.92,1.08
set_66_1_120,tabu-div,695,51.75,1.15
set_66_1_120,tabu-div,720,52.92,1.21
set_66_1_120,tabu-div,755,55.75,1.26
set_66_1_120,tabu-div,780,56.92,1.32
set_66_1_120,tabu-div,815,59.75,1.38
set_66_1_120,tabu-div,840,60.92,1.44
set_66_1_120,tabu-div,875,63.75,1.50
set_66_1_120,tabu-div,900,64.92,1.56
set_66_1_120,tabu-div,935,67.75,1.62
set_66_1_120,tabu-div,960,68.92,1.68
set_66_1_120,tabu-div,995,71.75,1.75
set_66_1_120,tabu-div,1020,72.92,1.81
set_66_1_120,tabu-div,1055,75.75,1.87
set_66_1_120,tabu-div,1080,76.92,1.94
set_66_1_120,tabu-div,1115,79.75,2.00
set_66_1_120,tabu-div,1140,80.92,2.07
set_66_1_120,tabu-div,1175,83.75,2.14
set_66_1_120,tabu-div,1210,84.92,2.21
set_66_1_120,tabu-div,1245,87.75,2.28
set_66_1_120,tabu-div,1280,88.92,2.35
set_66_1_120,tabu-div,1315,91.75,2.42
set_66_1_120,tabu-div,1340,92.92,2.49
set_66_1_120,tabu-div,1375,95.75,2.57
set_66_1_120,tabu-div,1400,96.92,2.64
set_66_1_120,tabu-div,1435,99.75,2.72
set_66_1_120,tabu-div,1460,100.92,2.80
set_66_1_120,tabu-div,1495,103.75,2.87
set_66_1_120,tabu-div,1520,104.92,2.95
set_66_1_120,tabu-div,1535,107.75,3.03
set_66_1_120,tabu-div,1550,108.92,3.11
set_66_1_120,tabu-div,1565,111.75,3.19
set_66_1_120,tabu-div,1580,112.92,3.27
set_66_1_120,tabu-div,1595,115.75,3.35
set_66_1_120,tabu-div,1610,118.58,3.46
set_66_1_120,tabu-div,1625,119.75,3.54
set_66_1_120,tabu-div,1635,119.81,5.84
