instance,config,score,dist,time
set_66_1_120,tabu,15,6.33,0.00
set_66_1_120,tabu,20,6.50,0.09
set_66_1_120,tabu,35,8.50,0.13
set_66_1_120,tabu,40,8.92,0.17
set_66_1_120,tabu,65,11.75,0.21
set_66_1_120,tabu,90,12.92,0.24
set_66_1_120,tabu,125,15.75,0.28
set_66_1_120,tabu,160,16.92,0.32
set_66_1_120,tabu,195,19.75,0.36
set_66_1_120,tabu,220,20.92,0.41
set_66_1_120,tabu,255,23.75,0.45
set_66_1_120,tabu,280,24.92,0.49
set_66_1_120,tabu,315,27.75,0.54
set_66_1_120,tabu,350,28.92,0.58
set_66_1_120,tabu,385,31.75,0.63
set_66_1_120,tabu,410,32.92,0.68
set_66_1_120,tabu,445,35.75,0.73
set_66_1_120,tabu,470,36.92,0.78
set_66_1_120,tabu,505,39.75,0.83
set_66_1_120,tabu,540,40.92,0.88
set_66_1_120,tabu,575,43.75,0.94
set_66_1_120,tabu,600,44.92,0.99
set_66_1_120,tabu,635,47.75,1.04
set_66_1_120,tabu,660,48.92,1.10
set_66_1_120,tabu,695,51.75,1.18
set_66_1_120,tabu,720,52.92,1.24
set_66_1_120,tabu,755,55.75,1.30
set_66_1_120,tabu,780,56.92,1.36
set_66_1_120,tabu,815,59.75,1.42
set_66_1_120,tabu,840,60.92,1.48
set_66_1_120,tabu,875,63.75,1.54
set_66_1_120,tabu,900,64.92,1.61
set_66_1_120,tabu,935,67.75,1.67
set_66_1_120,tabu,960,68.92,1.75
set_66_1_120,tabu,995,71.75,1.82
set_66_1_120,tabu,1020,72.92,1.89
set_66_1_120,tabu,1055,75.75,1.96
set_66_1_120,tabu,1080,76.92,2.04
set_66_1_120,tabu,1115,79.75,2.11
set_66_1_120,tabu,1140,80.92,2.18
set_66_1_120,tabu,1175,83.75,2.26
set_66_1_120,tabu,1210,84.92,2.33
set_66_1_120,tabu,1245,87.75,2.40
set_66_1_120,tabu,1280,88.92,2.48
set_66_1_120,tabu,1315,91.75,2.55
set_66_1_120,tabu,1340,92.92,2.62
set_66_1_120,tabu,1375,95.75,2.70
set_66_1_120,tabu,1400,96.92,2.77
set_66_1_120,tabu,1435,99.75,2.85
set_66_1_120,tabu,1460,100.92,2.93
set_66_1_120,tabu,1495,103.75,3.01
set_66_1_120,tabu,1520,104.92,3.09
set_66_1_120,tabu,1535,107.75,3.17
set_66_1_120,tabu,1550,108.92,3.26
set_66_1_120,tabu,1565,111.75,3.34
set_66_1_120,tabu,1580,112.92,3.43
set_66_1_120,tabu,1595,115.75,3.51
set_66_1_120,tabu,1610,118.58,3.62
set_66_1_120,tabu,1625,119.75,3.71
