[constructive_heuristic] best sol improved: score=10, dist=4.142574841187795, Solution(n=32, next=[28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 31, None, None, None])
[constructive_heuristic] best sol improved: score=15, dist=6.866521108903895, Solution(n=32, next=[28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 31, None, None, None, None, None, None, None, None, None, 18, None, None, None])
[constructive_heuristic] best sol improved: score=25, dist=11.961738555569307, Solution(n=32, next=[28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 18, 31, None, None, None, None, None, None, None, None, None, 17, None, None, None])
[constructive_heuristic] best sol improved: score=35, dist=14.814379286313079, Solution(n=32, next=[28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 18, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=50, dist=20.65584185561859, Solution(n=32, next=[28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 18, None, 15, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=65, dist=24.332545702043852, Solution(n=32, next=[28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 18, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=75, dist=29.028470071671926, Solution(n=32, next=[28, None, None, None, None, 18, None, None, None, None, None, None, None, None, None, 5, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=85, dist=30.905005713337857, Solution(n=32, next=[28, None, None, None, 5, 18, None, None, None, None, None, None, None, None, None, 4, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=95, dist=33.1211042692279, Solution(n=32, next=[28, None, None, None, 5, 18, None, None, None, None, None, None, None, None, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=100, dist=34.95410147814594, Solution(n=32, next=[28, None, None, None, 5, 6, 18, None, None, None, None, None, None, None, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=105, dist=36.57138333541776, Solution(n=32, next=[28, None, None, None, 5, 7, 18, 6, None, None, None, None, None, None, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=115, dist=39.80291663303641, Solution(n=32, next=[28, None, None, 7, 5, 3, 18, 6, None, None, None, None, None, None, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=125, dist=43.5266120120987, Solution(n=32, next=[28, None, 7, 2, 5, 3, 18, 6, None, None, None, None, None, None, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] best sol improved: score=130, dist=46.40382150618063, Solution(n=32, next=[28, None, 7, 2, 5, 3, 13, 6, None, None, None, None, None, 18, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[constructive_heuristic] finished construction phase, Solution(n=32, next=[28, None, 7, 2, 5, 3, 13, 6, None, None, None, None, None, 18, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[local_search] best sol improved: score=135, dist=49.984613041434365, Solution(n=32, next=[28, None, 8, 2, 5, 7, 13, 3, 6, None, None, None, None, 18, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[local_search] best sol improved: score=135, dist=47.0583412016181, Solution(n=32, next=[28, None, 8, 2, 5, 7, None, 3, 9, 13, None, None, None, 18, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[local_search] best sol improved: score=140, dist=48.24819311386991, Solution(n=32, next=[28, None, 8, 2, 5, 6, 7, 3, 9, 13, None, None, None, 18, 4, 14, 15, 16, 31, None, None, None, None, None, None, None, None, None, 29, 17, None, None])
[local_search] best sol improved: score=150, dist=49.443225123237305, Solution(n=32, next=[19, None, 8, 4, 5, 7, 13, 6, 3, None, 2, 10, 11, 31, None, None, None, None, None, 20, 26, 12, 21, None, None, 22, 25, None, None, None, None, None])
[local_search] best sol improved: score=150, dist=44.84130758264224, Solution(n=32, next=[19, None, 3, 4, 5, 7, 13, 6, 2, None, 8, 10, 11, 31, None, None, None, None, None, 20, 26, 12, 21, None, None, 22, 25, None, None, None, None, None])
[local_search] best sol improved: score=160, dist=46.81713926279738, Solution(n=32, next=[19, 26, 3, 4, 5, 7, 13, 6, 2, None, 8, 10, 11, 31, None, None, None, None, None, 20, 1, 12, 21, None, None, 22, 25, None, None, None, None, None])
[local_search] best sol improved: score=165, dist=49.89942872290765, Solution(n=32, next=[19, 26, 3, 4, 5, 7, 13, 6, 2, 11, 8, 10, 9, 31, None, None, None, None, None, 20, 1, 12, 21, None, None, 22, 25, None, None, None, None, None])
