instance,config,score,dist,time
tsiligirides_problem_1_budget_80,tabu-div,10,4.14,0.00
tsiligirides_problem_1_budget_80,tabu-div,15,6.87,0.13
tsiligirides_problem_1_budget_80,tabu-div,25,11.96,0.16
tsiligirides_problem_1_budget_80,tabu-div,35,14.81,0.19
tsiligirides_problem_1_budget_80,tabu-div,50,20.66,0.22
tsiligirides_problem_1_budget_80,tabu-div,65,24.33,0.26
tsiligirides_problem_1_budget_80,tabu-div,75,29.03,0.29
tsiligirides_problem_1_budget_80,tabu-div,85,30.91,0.32
tsiligirides_problem_1_budget_80,tabu-div,95,33.12,0.37
tsiligirides_problem_1_budget_80,tabu-div,100,34.95,0.40
tsiligirides_problem_1_budget_80,tabu-div,105,36.57,0.44
tsiligirides_problem_1_budget_80,tabu-div,115,39.80,0.48
tsiligirides_problem_1_budget_80,tabu-div,125,43.53,0.51
tsiligirides_problem_1_budget_80,tabu-div,130,46.40,0.56
tsiligirides_problem_1_budget_80,tabu-div,140,52.48,0.61
tsiligirides_problem_1_budget_80,tabu-div,155,56.94,0.65
tsiligirides_problem_1_budget_80,tabu-div,165,57.84,0.69
tsiligirides_problem_1_budget_80,tabu-div,170,59.52,0.73
tsiligirides_problem_1_budget_80,tabu-div,175,60.03,0.78
tsiligirides_problem_1_budget_80,tabu-div,185,63.48,0.83
tsiligirides_problem_1_budget_80,tabu-div,195,65.45,0.87
tsiligirides_problem_1_budget_80,tabu-div,205,68.93,0.92
tsiligirides_problem_1_budget_80,tabu-div,215,72.39,0.97
tsiligirides_problem_1_budget_80,tabu-div,230,76.31,1.02
tsiligirides_problem_1_budget_80,tabu-div,235,79.77,1.07
tsiligirides_problem_1_budget_80,tabu-div,235,79.01,1.17
tsiligirides_problem_1_budget_80,tabu-div,240,78.35,1.22
tsiligirides_problem_1_budget_80,tabu-div,245,79.93,1.27
tsiligirides_problem_1_budget_80,tabu-div,245,79.08,1.32
tsiligirides_problem_1_budget_80,tabu-div,255,79.77,1.37
tsiligirides_problem_1_budget_80,tabu-div,255,77.79,1.42
tsiligirides_problem_1_budget_80,tabu-div,260,79.76,1.48
tsiligirides_problem_1_budget_80,tabu-div,260,78.99,1.55
tsiligirides_problem_1_budget_80,tabu-div,260,78.86,1.60
tsiligirides_problem_1_budget_80,tabu-div,265,79.07,1.68
tsiligirides_problem_1_budget_80,tabu-div,270,79.17,1.78
tsiligirides_problem_1_budget_80,tabu-div,270,76.13,1.84
tsiligirides_problem_1_budget_80,tabu-div,280,79.86,1.89
