instance,config,score,dist,time
tsiligirides_problem_2_budget_40,tabu-div,25,4.18,0.00
tsiligirides_problem_2_budget_40,tabu-div,35,4.29,0.09
tsiligirides_problem_2_budget_40,tabu-div,50,6.14,0.12
tsiligirides_problem_2_budget_40,tabu-div,60,6.57,0.15
tsiligirides_problem_2_budget_40,tabu-div,70,7.55,0.18
tsiligirides_problem_2_budget_40,tabu-div,90,10.13,0.21
tsiligirides_problem_2_budget_40,tabu-div,110,13.78,0.24
tsiligirides_problem_2_budget_40,tabu-div,130,15.65,0.27
tsiligirides_problem_2_budget_40,tabu-div,150,17.89,0.31
tsiligirides_problem_2_budget_40,tabu-div,170,20.72,0.34
tsiligirides_problem_2_budget_40,tabu-div,185,21.96,0.37
tsiligirides_problem_2_budget_40,tabu-div,200,22.22,0.41
tsiligirides_problem_2_budget_40,tabu-div,230,26.47,0.44
tsiligirides_problem_2_budget_40,tabu-div,260,31.56,0.48
tsiligirides_problem_2_budget_40,tabu-div,290,38.77,0.52
tsiligirides_problem_2_budget_40,tabu-div,300,39.59,0.60
tsiligirides_problem_2_budget_40,tabu-div,320,39.73,0.68
tsiligirides_problem_2_budget_40,tabu-div,340,39.74,0.81
tsiligirides_problem_2_budget_40,tabu-div,350,39.04,0.85
tsiligirides_problem_2_budget_40,tabu-div,370,38.91,0.93
tsiligirides_problem_2_budget_40,tabu-div,380,39.96,0.99
tsiligirides_problem_2_budget_40,tabu-div,385,39.49,1.04
tsiligirides_problem_2_budget_40,tabu-div,395,39.78,1.11
