instance,config,score,dist,time
tsiligirides_problem_3_budget_100,ilp,20,8.93,0.00
tsiligirides_problem_3_budget_100,ilp,150,24.76,0.12
tsiligirides_problem_3_budget_100,ilp,160,48.69,0.15
tsiligirides_problem_3_budget_100,ilp,260,65.43,0.17
tsiligirides_problem_3_budget_100,ilp,440,99.72,0.21
tsiligirides_problem_3_budget_100,ilp,560,89.72,0.25
tsiligirides_problem_3_budget_100,ilp,570,90.41,0.30
tsiligirides_problem_3_budget_100,ilp,600,95.34,0.34
tsiligirides_problem_3_budget_100,ilp,610,88.05,0.38
tsiligirides_problem_3_budget_100,ilp,630,98.28,0.43
tsiligirides_problem_3_budget_100,ilp,640,96.90,0.47
tsiligirides_problem_3_budget_100,ilp,650,98.16,0.55
tsiligirides_problem_3_budget_100,ilp,660,88.14,0.60
tsiligirides_problem_3_budget_100,ilp,750,99.73,0.65
tsiligirides_problem_3_budget_100,ilp,780,96.19,0.72
tsiligirides_problem_3_budget_100,ilp,790,99.96,0.93
tsiligirides_problem_3_budget_100,ilp,800,98.64,1.65
