[constructive_heuristic] best sol improved: score=50, dist=5.42369654027814, Solution(n=33, next=[22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 32, None, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=60, dist=5.423702811447763, Solution(n=33, next=[22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 24, None, 32, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=70, dist=6.8780645913613645, Solution(n=33, next=[22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 24, 32, 23, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=80, dist=8.096789279736404, Solution(n=33, next=[22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 24, 32, 27, None, None, 23, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=110, dist=11.875208713351189, Solution(n=33, next=[22, None, None, None, None, None, None, None, None, None, None, None, None, None, 23, None, None, None, None, None, None, None, 24, 32, 27, None, None, 14, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=130, dist=12.976396735125814, Solution(n=33, next=[22, None, None, None, 23, None, None, None, None, None, None, None, None, None, 4, None, None, None, None, None, None, None, 24, 32, 27, None, None, 14, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=140, dist=14.16324735744223, Solution(n=33, next=[22, None, None, None, 23, None, None, None, None, None, None, None, None, None, 28, None, None, None, None, None, None, None, 24, 32, 27, None, None, 14, 4, None, None, None, None])
[constructive_heuristic] best sol improved: score=190, dist=20.62475017075291, Solution(n=33, next=[22, None, None, None, 23, None, None, None, None, None, None, None, None, None, 28, None, None, None, None, None, 4, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=210, dist=22.539465545640265, Solution(n=33, next=[22, None, None, 4, 23, None, None, None, None, None, None, None, None, None, 28, None, None, None, None, None, 3, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=240, dist=24.708741022624622, Solution(n=33, next=[22, None, None, 4, 23, None, None, None, None, None, None, None, None, 3, 28, None, None, None, None, None, 13, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=280, dist=27.702625223944572, Solution(n=33, next=[22, None, None, 4, 23, None, None, None, None, None, None, None, None, 3, 28, None, None, 13, None, None, 17, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=320, dist=31.697449865050856, Solution(n=33, next=[22, None, None, 4, 23, None, None, None, None, None, None, None, None, 3, 28, None, 13, 16, None, None, 17, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=360, dist=34.25072031610425, Solution(n=33, next=[22, None, None, 4, 23, None, None, None, None, None, None, None, None, 3, 28, 13, 15, 16, None, None, 17, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=380, dist=37.12164236964712, Solution(n=33, next=[22, None, None, 4, 23, None, 3, None, None, None, None, None, None, 6, 28, 13, 15, 16, None, None, 17, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=400, dist=40.04918592778556, Solution(n=33, next=[22, None, 3, 4, 23, None, 2, None, None, None, None, None, None, 6, 28, 13, 15, 16, None, None, 17, None, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=450, dist=48.14001190965857, Solution(n=33, next=[22, None, 3, 4, 23, None, 2, None, None, None, None, None, None, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, None, 14, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=470, dist=51.824270404042025, Solution(n=33, next=[22, None, 3, 4, 23, 14, 2, None, None, None, None, None, None, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, None, 5, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=490, dist=53.71807687021385, Solution(n=33, next=[22, None, 3, 4, 23, 14, 2, 5, None, None, None, None, None, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, None, 7, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=510, dist=58.16006880361581, Solution(n=33, next=[22, None, 8, 4, 23, 14, 2, 5, 3, None, None, None, None, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, None, 7, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=520, dist=60.31156044325209, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 1, None, None, None, None, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, None, 7, 20, None, None, None, None])
[constructive_heuristic] best sol improved: score=540, dist=64.22246307429528, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 29, None, None, None, None, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, None, 7, 20, 1, None, None, None])
[constructive_heuristic] best sol improved: score=550, dist=64.75941123873153, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 29, None, None, None, None, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 26, None, None, None])
[constructive_heuristic] best sol improved: score=580, dist=68.72459052451822, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 12, None, None, None, 29, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 26, None, None, None])
[constructive_heuristic] best sol improved: score=600, dist=69.43600840488631, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, None, None, None, 29, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 26, None, 12, None])
[constructive_heuristic] best sol improved: score=620, dist=72.61490148928691, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, None, None, None, 29, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 30, 26, 12, None])
[constructive_heuristic] best sol improved: score=650, dist=79.03565316218453, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, None, None, 30, 29, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 11, 26, 12, None])
[constructive_heuristic] best sol improved: score=680, dist=84.54785387494876, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, None, 30, 10, 29, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 11, 26, 12, None])
[constructive_heuristic] best sol improved: score=710, dist=88.73979999286567, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, 30, 9, 10, 29, 6, 28, 13, 15, 21, None, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 11, 26, 12, None])
[constructive_heuristic] best sol improved: score=750, dist=95.40631083536722, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, 30, 9, 18, 29, 6, 28, 13, 15, 21, 10, None, 17, 16, 24, 32, 27, None, 1, 7, 20, 11, 26, 12, None])
[constructive_heuristic] best sol improved: score=760, dist=99.69375170506758, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, 25, 9, 18, 29, 6, 28, 13, 15, 21, 10, None, 17, 16, 24, 32, 27, 30, 1, 7, 20, 11, 26, 12, None])
[constructive_heuristic] finished construction phase, Solution(n=33, next=[22, 3, 8, 4, 23, 14, 2, 5, 31, 25, 9, 18, 29, 6, 28, 13, 15, 21, 10, None, 17, 16, 24, 32, 27, 30, 1, 7, 20, 11, 26, 12, None])
