instance,config,score,dist,time
tsiligirides_problem_3_budget_100,tabu-int,50,5.42,0.00
tsiligirides_problem_3_budget_100,tabu-int,60,5.42,0.10
tsiligirides_problem_3_budget_100,tabu-int,70,6.88,0.13
tsiligirides_problem_3_budget_100,tabu-int,80,8.10,0.16
tsiligirides_problem_3_budget_100,tabu-int,110,11.88,0.19
tsiligirides_problem_3_budget_100,tabu-int,130,12.98,0.22
tsiligirides_problem_3_budget_100,tabu-int,140,14.16,0.27
tsiligirides_problem_3_budget_100,tabu-int,190,20.62,0.30
tsiligirides_problem_3_budget_100,tabu-int,210,22.54,0.34
tsiligirides_problem_3_budget_100,tabu-int,240,24.71,0.37
tsiligirides_problem_3_budget_100,tabu-int,280,27.70,0.41
tsiligirides_problem_3_budget_100,tabu-int,320,31.70,0.45
tsiligirides_problem_3_budget_100,tabu-int,360,34.25,0.49
tsiligirides_problem_3_budget_100,tabu-int,380,37.12,0.53
tsiligirides_problem_3_budget_100,tabu-int,400,40.05,0.58
tsiligirides_problem_3_budget_100,tabu-int,450,48.14,0.62
tsiligirides_problem_3_budget_100,tabu-int,470,51.82,0.66
tsiligirides_problem_3_budget_100,tabu-int,490,53.72,0.70
tsiligirides_problem_3_budget_100,tabu-int,510,58.16,0.75
tsiligirides_problem_3_budget_100,tabu-int,520,60.31,0.80
tsiligirides_problem_3_budget_100,tabu-int,540,64.22,0.84
tsiligirides_problem_3_budget_100,tabu-int,550,64.76,0.88
tsiligirides_problem_3_budget_100,tabu-int,580,68.72,0.93
tsiligirides_problem_3_budget_100,tabu-int,600,69.44,0.98
tsiligirides_problem_3_budget_100,tabu-int,620,72.61,1.03
tsiligirides_problem_3_budget_100,tabu-int,650,79.04,1.08
tsiligirides_problem_3_budget_100,tabu-int,680,84.55,1.13
tsiligirides_problem_3_budget_100,tabu-int,710,88.74,1.19
tsiligirides_problem_3_budget_100,tabu-int,750,95.41,1.24
tsiligirides_problem_3_budget_100,tabu-int,760,99.69,1.29
tsiligirides_problem_3_budget_100,tabu-int,760,98.74,1.40
tsiligirides_problem_3_budget_100,tabu-int,760,97.40,1.47
tsiligirides_problem_3_budget_100,tabu-int,760,96.97,1.53
tsiligirides_problem_3_budget_100,tabu-int,760,95.61,1.58
tsiligirides_problem_3_budget_100,tabu-int,760,95.18,1.64
tsiligirides_problem_3_budget_100,tabu-int,760,94.65,1.69
tsiligirides_problem_3_budget_100,tabu-int,770,99.31,1.75
tsiligirides_problem_3_budget_100,tabu-int,770,98.72,1.80
tsiligirides_problem_3_budget_100,tabu-int,800,99.48,1.86
