instance,config,score,dist,time
tsiligirides_problem_3_budget_100,tabu,50,5.42,0.00
tsiligirides_problem_3_budget_100,tabu,60,5.42,0.10
tsiligirides_problem_3_budget_100,tabu,70,6.88,0.14
tsiligirides_problem_3_budget_100,tabu,80,8.10,0.17
tsiligirides_problem_3_budget_100,tabu,110,11.88,0.21
tsiligirides_problem_3_budget_100,tabu,130,12.98,0.24
tsiligirides_problem_3_budget_100,tabu,140,14.16,0.28
tsiligirides_problem_3_budget_100,tabu,190,20.62,0.32
tsiligirides_problem_3_budget_100,tabu,210,22.54,0.37
tsiligirides_problem_3_budget_100,tabu,240,24.71,0.42
tsiligirides_problem_3_budget_100,tabu,280,27.70,0.46
tsiligirides_problem_3_budget_100,tabu,320,31.70,0.50
tsiligirides_problem_3_budget_100,tabu,360,34.25,0.54
tsiligirides_problem_3_budget_100,tabu,380,37.12,0.59
tsiligirides_problem_3_budget_100,tabu,400,40.05,0.64
tsiligirides_problem_3_budget_100,tabu,450,48.14,0.68
tsiligirides_problem_3_budget_100,tabu,470,51.82,0.73
tsiligirides_problem_3_budget_100,tabu,490,53.72,0.77
tsiligirides_problem_3_budget_100,tabu,510,58.16,0.82
tsiligirides_problem_3_budget_100,tabu,520,60.31,0.87
tsiligirides_problem_3_budget_100,tabu,540,64.22,0.92
tsiligirides_problem_3_budget_100,tabu,550,64.76,0.98
tsiligirides_problem_3_budget_100,tabu,580,68.72,1.03
tsiligirides_problem_3_budget_100,tabu,600,69.44,1.08
tsiligirides_problem_3_budget_100,tabu,620,72.61,1.15
tsiligirides_problem_3_budget_100,tabu,650,79.04,1.20
tsiligirides_problem_3_budget_100,tabu,680,84.55,1.26
tsiligirides_problem_3_budget_100,tabu,710,88.74,1.32
tsiligirides_problem_3_budget_100,tabu,750,95.41,1.38
tsiligirides_problem_3_budget_100,tabu,760,99.69,1.43
tsiligirides_problem_3_budget_100,tabu,760,98.74,1.56
tsiligirides_problem_3_budget_100,tabu,760,97.40,1.63
tsiligirides_problem_3_budget_100,tabu,760,96.97,1.68
tsiligirides_problem_3_budget_100,tabu,760,95.61,1.73
tsiligirides_problem_3_budget_100,tabu,760,95.18,1.79
tsiligirides_problem_3_budget_100,tabu,760,94.65,1.85
tsiligirides_problem_3_budget_100,tabu,770,99.31,1.90
tsiligirides_problem_3_budget_100,tabu,770,98.72,1.96
tsiligirides_problem_3_budget_100,tabu,800,99.48,2.01
